EmployeeId,AttendanceDate,CheckIn,CheckOut
SWAR,09/06/2017,09:50:41,18:06:22
SWAR,10/06/2017,00:00,00:00
SWAR,11/06/2017,00:00,00:00
SWAR,12/06/2017,09:43:40,18:25:31
SWAR,13/06/2017,09:17:53,18:57:07
SWAR,14/06/2017,09:37:01,18:50:20
SWAR,15/06/2017,09:55:37,21:05:46
SWAR,16/06/2017,09:31:53,20:27:05
SWAR,17/06/2017,00:00,00:00
SWAR,18/06/2017,00:00,00:00
SWAR,19/06/2017,00:00,00:00
SWAR,20/06/2017,09:50:01,19:20:29
SWAR,21/06/2017,09:37:53,20:54:56
SWAR,22/06/2017,10:44:05,19:42:49
SWAR,23/06/2017,09:54:06,20:35:35
SWAR,24/06/2017,00:00,00:00
SWAR,25/06/2017,00:00,00:00
SWAR,26/06/2017,00:00,00:00
SWAR,27/06/2017,10:20:19,20:57:22
SWAR,28/06/2017,10:06:37,20:57:57
SWAR,29/06/2017,09:44:54,20:35:37
SWAR,30/06/2017,00:00,00:00
ARTH,01/06/2017,11:03:32,22:24:57
ARTH,02/06/2017,00:00,00:00
ARTH,03/06/2017,00:00,00:00
ARTH,04/06/2017,00:00,00:00
ARTH,05/06/2017,08:48:16,19:51:11
ARTH,06/06/2017,09:02:53,19:08:35
ARTH,07/06/2017,10:26:45,20:55:32
ARTH,08/06/2017,08:39:11,19:29:11
ARTH,09/06/2017,08:40:15,21:05:05
ARTH,10/06/2017,00:00,00:00
ARTH,11/06/2017,00:00,00:00
ARTH,12/06/2017,09:46:20,18:47:51
ARTH,13/06/2017,09:12:06,11:44:14
ARTH,14/06/2017,09:08:28,18:40:13
ARTH,15/06/2017,09:03:41,20:27:32
ARTH,16/06/2017,09:40:02,20:08:03
ARTH,17/06/2017,00:00,00:00
ARTH,18/06/2017,00:00,00:00
ARTH,19/06/2017,09:08:14,21:24:56
ARTH,20/06/2017,09:00:03,19:25:56
ARTH,21/06/2017,09:02:51,16:28:39
ARTH,22/06/2017,09:18:12,20:29:12
ARTH,23/06/2017,09:03:49,14:44:01
ARTH,24/06/2017,00:00,00:00
ARTH,25/06/2017,00:00,00:00
ARTH,26/06/2017,00:00,00:00
ARTH,27/06/2017,00:00,00:00
ARTH,28/06/2017,11:31:59,21:10:18
ARTH,29/06/2017,11:13:22,20:34:08
ARTH,30/06/2017,11:11:54,20:11:19
